88.8958,18.626,17000
88.779,1.19947,11000
82.3956,0.0423041,13000
87.9847,9.63931,14000
77.8179,17.1814,16000
88.738,13.5542,16000
96.2222,4.16517,16000
71.4005,7.05526,14000
84.6471,1.15557,8000
75.6272,1.51838,16000
92.6256,8.26562,13000
90.0664,15.0985,11000
80.7684,4.57931,7000
86.7004,1.54439,11000
71.6523,17.649,8000
92.6139,17.9727,17000
77.4099,10.5705,7000
83.5478,13.4298,20000
91.8413,11.1381,16000
71.3847,1.49729,11000
78.9089,12.038,16000
86.0958,2.14486,5000
75.1542,17.8033,5000
73.4298,4.17419,16000
70.016,10.8787,19000
83.6634,5.88181,17000
96.8784,10.1431,5000
82.4469,16.2412,18000
92.1188,15.7599,9000
78.0962,16.9329,13000
78.4732,3.85973,20000
80.7721,5.16742,16000
84.8336,1.85376,20000
88.5718,17.7017,14000
74.3279,5.36307,10000
79.4704,12.2179,18000
